code,open,high,low,close,volume,abs_change,sq_abs_change,sq_abs_change100000
093190,6156.571312143439,6215.469437652811,6064.845150774247,6152.486552567238,38756.59820700897,0.008898971182112239,7.919168810006409e-05,7.9191688100064095
093230,434.3048084759576,447.7921760391198,423.3292583537082,432.87693561532194,9424971.38386308,0.023276400410501268,0.0005417908160699836,54.17908160699836
093240,3373.39934800326,3491.0986145069273,3284.8598207008963,3381.38793806031,1103008.6226568867,0.026573176940811773,0.0007061337327276905,70.61337327276905
093320,29614.50692746536,30266.01466992665,28939.282803585982,29620.00814995925,42713.76935615322,0.018784598517950325,0.00035286114148058153,35.286114148058154
093370,8406.242868785655,8581.303993480033,8234.189079054604,8391.931540342299,2231046.3643031786,0.021290790499576714,0.00045329776009686606,45.329776009686604
093380,3473.4881825590874,3554.352078239609,3407.1678891605543,3477.123064384678,393744.7237163814,0.019771897125625843,0.0003909279159463315,39.09279159463315
093520,4079.5843520782396,4171.931540342298,4001.515892420538,4076.1369193154032,473050.532192339,0.020014029898277712,0.00040056139276915413,40.05613927691541
093640,4743.553382233089,4887.127139364303,4594.20130399348,4740.18337408313,337195.15729421354,0.026740438594543343,0.0007150510562285432,71.50510562285432
093920,8040.888345558272,8137.473512632437,7917.086389568052,8027.681336593317,84558.0847595762,0.013814960635133579,0.00019085313735029037,19.085313735029036
094170,5476.687041564792,5616.58598207009,5335.80521597392,5479.627546862265,234084.49062754685,0.023970508710271936,0.0005745852878292228,57.45852878292228
094190,854.4236499068901,876.8947858472998,831.7420856610801,1058.8240223463688,1378544.610800745,0.021266530267353208,0.0004522653096122501,45.22653096122501
094280,14010.350448247758,14273.22738386308,13746.185819070904,14010.105949470253,41225.19722901386,0.016130918038344697,0.0002602065167597943,26.020651675979433
094360,7544.897310513447,7761.80358598207,7362.1792991035045,7535.398533007335,419999.4987775061,0.02599332184900972,0.0006756527807462061,67.56527807462061
094480,4153.307253463733,4250.726976365118,4053.1002444987776,4141.0228198859,209158.749796251,0.01985792714327365,0.00039433727042756443,39.433727042756445
094820,5429.478402607987,5511.564792176039,5343.781581092095,5427.127139364303,112586.01792991035,0.012927173914106395,0.00016711182540555286,16.711182540555285
094840,6803.337408312958,6936.723716381418,6683.149959250204,6991.422167889161,116716.0554197229,0.01754024905073356,0.00030766033676175956,30.766033676175955
094850,8740.558272208638,8892.14751426243,8576.62184189079,8732.330888345557,146639.1727791361,0.016866132904803027,0.00028446643916247937,28.446643916247936
094860,869.6845965770171,897.958435207824,842.5378973105135,868.4857375713121,1232406.8867155665,0.02605991760134202,0.0006791193053887356,67.91193053887356
094940,9235.569682151588,9568.18011409943,8964.566422167889,9223.208638956805,571690.8492257539,0.03263446136386564,0.0010650080685096395,106.50080685096394
