date,nsi
20170916,115.21
20170917,117.77
20170918,116.97
20170919,119.14
20170920,118.11
20170921,118.76
20170922,117.36
20170923,115.27
20170924,114.77
20170925,114.62
20170926,110.93
20170927,111.64
20170928,109.57
20170929,109.97
20170930,112.63
20171001,111.79
20171002,116.99
20171003,115.86
20171004,113.81
20171005,114.95
20171006,114.91
20171007,113.38
20171008,114.86
20171009,110.82
20171010,113.42
20171011,117.46
20171012,122.52
20171013,122.89
20171014,125.71
20171015,126.09
20171016,126.53
20171017,126.37
20171018,126.29
20171019,123.76
20171020,124.59
20171021,121.92
20171022,122.63
20171023,122
20171024,123.51
20171025,122.59
20171026,123.82
20171027,126.13
20171028,128.52
20171029,127.07
20171030,127.59
20171031,128.14
20171101,130.53
20171102,131.78
20171103,132.39
20171104,134.61
20171105,135.53
20171106,135.9
20171107,134.61
20171108,133.01
20171109,130.97
20171110,129.65
20171111,127.53
20171112,128.38
20171113,130.91
20171114,131.99
20171115,133.35
20171116,133.02
20171117,132.9
20171118,131.54
20171119,130.61
20171120,127.74
20171121,127.18
20171122,125.19
20171123,124.81
20171124,123.8
20171125,125.55
20171126,125.3
20171127,126.19
20171128,124.82
20171129,121.72
20171130,121.03
20171201,118.61
20171202,117.83
20171203,118.49
20171204,118.19
20171205,119.38
20171206,122.01
20171207,119.68
20171208,120.58
20171209,119.76
20171210,118.61
20171211,117.85
20171212,118.1
20171213,116.8
20171214,119.27
20171215,119.96
20171216,121.68
20171217,122.99
20171218,124.38
20171219,123.72
20171220,124.85
20171221,124.54
20171222,125.01
20171223,122.61
20171224,121.41
20171225,120.28
20171226,119.1
20171227,119.8
20171228,121.81
20171229,122.72
20171230,122.79
20171231,122.38
20180101,124.21
20180102,126.86
20180103,127.17
20180104,125.47
20180105,124.79
20180106,126.66
20180107,127.21
20180108,126.97
20180109,126.89
20180110,127.19
20180111,126.74
20180112,127
20180113,126.8
20180114,127.79
20180115,128
20180116,127.51
20180117,127.36
20180118,128.19
20180119,128.77
20180120,127.26
20180121,126.98
20180122,125.03
20180123,122.67
20180124,123.25
20180125,123.77
20180126,125.92
20180127,128.04
20180128,128.46
20180129,130.24
20180130,133.24
20180131,131.15
20180201,131.89
20180202,130.8
20180203,129.1
20180204,127.9
20180205,127.9
20180206,124.7
20180207,124.21
20180208,122.83
20180209,122.04
20180210,120.26
20180211,120.12
20180212,119.14
20180213,121.04
20180214,119.98
20180215,116.78
20180216,111.31
20180217,111.08
20180218,112.66
20180219,110.96
20180220,108.59
20180221,107.35
20180222,108.9
20180223,112.42
20180224,114.6
20180225,113.11
20180226,113.59
20180227,115.58
20180228,118.08
20180301,116.92
20180302,116.52
20180303,113.32
20180304,112.09
20180305,111.54
20180306,108.92
20180307,109.39
20180308,110.83
20180309,110.5
20180310,113.04
20180311,114.36
20180312,115.9
20180313,118.39
20180314,118.61
20180315,118.82
20180316,121.2
20180317,121.34
20180318,122.24
20180319,122.38
20180320,120.94
20180321,119.61
20180322,119.11
20180323,119.44
20180324,117.52
20180325,115.37
20180326,114.49
20180327,113.94
20180328,115.18
20180329,115.2
20180330,112.87
20180331,115.33
20180401,114.48
20180402,116.03
20180403,118.12
20180404,117.69
20180405,118.2
20180406,119.51
20180407,118.16
20180408,119.75
20180409,116.18
20180410,113.75
20180411,112.53
20180412,110.86
20180413,108.73
20180414,107.71
20180415,107.01
20180416,107.6
20180417,107.96
20180418,108.8
20180419,110.96
20180420,112.86
20180421,114.71
20180422,116.59
20180423,118.14
20180424,118.49
20180425,120.49
20180426,119.11
20180427,123.04
20180428,124.29
20180429,124.66
20180430,127.12
20180501,127.88
20180502,125.18
20180503,125.52
20180504,122.19
20180505,119.65
20180506,118.18
20180507,114.64
20180508,114.52
20180509,116.73
20180510,117.73
20180511,119.95
20180512,122.34
20180513,121.35
20180514,123.33
20180515,122.45
20180516,122.67
20180517,122.54
20180518,121.83
20180519,121.39
20180520,121.58
20180521,120.44
20180522,122.38
20180523,119.51
20180524,120.06
20180525,118.4
20180526,115.17
20180527,116.42
20180528,116.38
20180529,117.8
20180530,120.23
20180531,118.74
20180601,118.26
20180602,121.52
20180603,121.98
20180604,123.12
20180605,121.63
20180606,120.98
20180607,119.67
20180608,119.78
20180609,118.24
20180610,117.39
20180611,115.97
20180612,116.04
20180613,117.73
20180614,119.35
20180615,118.36
20180616,114.63
20180617,112.44
20180618,112.65
20180619,108.81
20180620,106.25
20180621,107.91
20180622,108.63
20180623,110.18
20180624,111.01
20180625,111.94
20180626,114.77
20180627,113.93
20180628,112.35
20180629,111.06
20180630,110.61
20180701,110.89
20180702,109.84
20180703,106.89
20180704,106.71
20180705,106.06
20180706,106.59
20180707,107.43
20180708,106.71
20180709,105.44
20180710,106.38
20180711,109.2
20180712,105.52
20180713,102.28
20180714,99.33
20180715,93.58
20180716,93.58
20180717,91.59
20180718,88.51
20180719,91.3
20180720,92.75
20180721,93.69
20180722,99.46
20180723,98.56
20180724,99.9
20180725,103.37
20180726,103.88
20180727,107.78
20180728,110.86
20180729,112.19
20180730,114.57
20180731,116.13
20180801,114.35
20180802,116.01
20180803,112.6
20180804,111.63
20180805,110.39
20180806,109.86
20180807,111.12
20180808,112.21
20180809,114.36
20180810,117.37
20180811,117.33
20180812,117.13
20180813,118.77
20180814,115.65
20180815,117.55
20180816,114.27
20180817,113.48
20180818,111.85
20180819,109.67
20180820,104.88
20180821,106.12
20180822,102.23
20180823,101.72
20180824,100.97
20180825,102.12
20180826,105.36
20180827,108.36
20180828,110.2
20180829,112.47
20180830,114.85
20180831,115.86
20180901,113.38
20180902,116.26
20180903,118.68
20180904,119.14
20180905,118.3
20180906,117.62
20180907,118.01
20180908,118.63
20180909,114.9
20180910,112.04
20180911,111.6
20180912,110.66
20180913,108.49
20180914,106.72
20180915,108.7
20180916,109.36
20180917,110.55
20180918,110.14
20180919,111.21
20180920,114.42
20180921,115.17
20180922,116.05
20180923,115.54
20180924,116.01
20180925,114.42
20180926,112.31
20180927,107.91
20180928,107.87
20180929,106
20180930,105.9
20181001,104.41
20181002,106.56
20181003,104.33
20181004,102.89
20181005,103.37
20181006,103.79
20181007,104.08
20181008,103.54
20181009,101.19
20181010,101.12
20181011,102.95
20181012,99.33
20181013,95.71
20181014,95
20181015,93.45
20181016,92.52
20181017,96.23
20181018,99.24
20181019,100.67
20181020,102.24
20181021,103.14
20181022,106.97
20181023,108.77
20181024,106.74
20181025,106.99
20181026,106.07
20181027,107.1
20181028,105.75
20181029,104.58
20181030,102.48
20181031,103.46
20181101,104.53
20181102,107.45
20181103,110.29
20181104,110.92
20181105,111.93
20181106,114.61
20181107,114.2
20181108,112.8
20181109,112.23
20181110,109.88
20181111,110.46
20181112,110.4
20181113,108.81
20181114,109.37
20181115,111.57
20181116,109.96
20181117,109.29
20181118,109.55
20181119,108.84
20181120,110.36
20181121,109.37
20181122,106.36
20181123,107.58
20181124,107.19
20181125,106.12
20181126,104.57
20181127,103.07
20181128,102.67
20181129,103.51
20181130,104.23
20181201,104.08
20181202,105.97
20181203,106.88
20181204,108.7
20181205,109.57
20181206,108.51
20181207,107.39
20181208,110.58
20181209,111.79
20181210,112.83
20181211,110.71
20181212,110.99
20181213,112.16
20181214,113.18
20181215,109.77
20181216,106.96
20181217,106.12
20181218,108.14
20181219,109.56
20181220,110.22
20181221,107.74
20181222,109.11
20181223,110.11
20181224,111.25
20181225,108.69
20181226,105.93
20181227,102.88
20181228,104.85
20181229,104.03
20181230,104.05
20181231,103.32
20190101,103.31
20190102,103.67
20190103,105.08
20190104,104.75
20190105,105.35
20190106,104.85
20190107,105.39
20190108,107.83
20190109,107.88
20190110,107.87
20190111,108.72
20190112,108.81
20190113,108.32
20190114,106.33
20190115,106.37
20190116,108.84
20190117,110.36
20190118,111.31
20190119,113.41
20190120,116.06
20190121,121.77
20190122,120.87
20190123,119.31
20190124,119.03
20190125,119.09
20190126,119.82
20190127,119.42
20190128,118.3
20190129,119.6
20190130,121.77
20190131,122.5
20190201,120.86
20190202,117.91
20190203,117.3
20190204,117.88
20190205,115.71
20190206,113.49
20190207,110.18
20190208,108.67
20190209,109.64
20190210,110.06
20190211,109.92
20190212,111.52
20190213,113.32
20190214,114.97
20190215,116.89
20190216,116
20190217,114.78
20190218,113.28
20190219,113.95
20190220,112.45
20190221,112.86
20190222,111.63
20190223,111.22
20190224,112.45
20190225,113.93
20190226,115.02
20190227,116.23
20190228,116.51
20190301,116.49
20190302,116.76
20190303,117.37
20190304,117.54
20190305,117.44
20190306,115.94
20190307,114.81
20190308,115.9
20190309,116.75
20190310,114.06
20190311,112.65
20190312,109.64
20190313,109.95
20190314,107.15
20190315,105.86
20190316,104.74
20190317,106.57
20190318,106.69
20190319,109.33
20190320,108.19
20190321,110.22
20190322,112.94
20190323,115.54
20190324,114.44
20190325,114.61
20190326,111.85
20190327,111.06
20190328,110.81
20190329,106.58
20190330,105.46
20190331,105.45
20190401,105.54
20190402,106.51
20190403,107.55
20190404,108.64
20190405,111.03
20190406,110.79
20190407,111.04
20190408,108.17
20190409,107.91
20190410,106.89
20190411,105.79
20190412,105.58
20190413,104.82
20190414,106.29
20190415,111.2
20190416,111.61
20190417,114.44
20190418,114.7
20190419,114.64
20190420,116.28
20190421,114.94
20190422,112.88
20190423,113.92
20190424,113.16
20190425,116.18
20190426,115.08
20190427,114.02
20190428,114.54
20190429,115.75
20190430,116.61
20190501,117.52
20190502,113.85
20190503,114.41
20190504,115.43
20190505,114.96
20190506,116.05
20190507,111.66
20190508,110.11
20190509,111.78
20190510,111.23
20190511,110.48
20190512,111.09
20190513,108.86
20190514,110.48
20190515,109.89
20190516,108.99
20190517,108.03
20190518,105.82
20190519,104.13
20190520,104.02
20190521,106.18
20190522,105.02
20190523,104.79
20190524,105.74
20190525,105
20190526,105.8
20190527,106.72
20190528,104.96
20190529,103.89
20190530,101.66
20190531,101.36
20190601,103.78
20190602,102.91
20190603,102.41
20190604,101.18
20190605,100.89
20190606,101.49
20190607,98.83
20190608,99.55
20190609,101.04
20190610,100.73
20190611,100.96
20190612,103.02
20190613,102.89
20190614,105.3
20190615,104.15
20190616,103.13
20190617,104.81
20190618,105.1
20190619,104.72
20190620,106.95
20190621,106.7
20190622,106.45
20190623,107.1
20190624,107.18
20190625,108.65
20190626,108.52
20190627,109.25
20190628,110.27
20190629,108.81
20190630,108.87
20190701,106.64
20190702,104.98
20190703,104.79
20190704,103.69
20190705,101.52
20190706,102.49
20190707,100.58
20190708,98.9
20190709,96.55
20190710,95.81
20190711,94.78
20190712,96.12
20190713,95.04
20190714,95.75
20190715,96.96
20190716,98.11
20190717,99.55
20190718,100.72
20190719,99.99
20190720,102.44
20190721,102.65
20190722,102.39
20190723,105.36
20190724,107.67
20190725,108.83
20190726,112.21
20190727,112.62
20190728,112.87
20190729,111.66
20190730,108.62
20190731,107.85
20190801,105.95
20190802,101.85
20190803,98.56
20190804,99.08
20190805,101.55
20190806,101.19
20190807,97.51
20190808,97.28
20190809,100.74
20190810,104
20190811,102.69
20190812,101.09
20190813,104.84
20190814,108.4
20190815,111.12
20190816,107.87
20190817,104.38
20190818,105.31
20190819,104.76
20190820,103.16
20190821,102.5
20190822,100.8
20190823,102.73
20190824,104.43
20190825,105.68
20190826,105.93
20190827,103.29
20190828,102.64
20190829,101.37
20190830,100.52
20190831,100.79
20190901,99.48
20190902,99.73
20190903,104.45
20190904,104.2
20190905,105.91
20190906,107.08
20190907,109.71
20190908,110.28
20190909,110.44
20190910,109.46
20190911,111.57
20190912,109.65
20190913,108.14
20190914,105.61
20190915,106.48
20190916,108.05
20190917,108.53
20190918,107.8
20190919,108.16
20190920,112.28
20190921,114.17
20190922,114.37
20190923,115.88
20190924,115.45
20190925,115.39
20190926,115.66
20190927,110.55
20190928,108.38
20190929,106.07
20190930,104.3
20191001,102.58
20191002,102.7
20191003,101.14
20191004,99.96
20191005,98.6
20191006,99.12
20191007,97.11
20191008,99.17
20191009,100.77
20191010,100.95
20191011,103.39
20191012,105.2
20191013,105.76
20191014,108.54
20191015,107.76
20191016,106.28
20191017,107.3
20191018,107.8
20191019,107.52
20191020,107.63
20191021,106.08
20191022,106.08
20191023,107.89
20191024,109.66
20191025,111.18
20191026,114.95
20191027,114.42
20191028,115.18
20191029,116.99
20191030,116.68
20191031,117.2
20191101,120.31
20191102,120.02
20191103,121.27
20191104,123.6
20191105,124.7
20191106,122.75
20191107,121.57
20191108,119.44
20191109,117.57
20191110,117.49
20191111,115.45
20191112,112.92
20191113,116.35
20191114,116.69
20191115,116.48
20191116,116.77
20191117,115.44
20191118,115.97
20191119,116.83
20191120,114.45
