code,mean_close,mean_changes,mean_chagesratio,mean_open,mean_high,mean_low,mean_volume,mean_amount,mean_marcap,mean_stocks,mean_rank
006220,6104.4,54.23265306122449,0.8987428571428572,6117.812244897959,6168.49387755102,6036.657142857143,33071.62857142857,201783037.85714287,143411867597.43674,24528774.0,959.7453061224488
006260,62027.51020408164,1129.8367346938776,1.8688489795918368,62015.83673469388,63168.16326530613,60990.24489795919,136236.71346938776,8241987316.48,1997285828571.4285,32200000.0,124.75836734693875
006280,189789.7959183673,3750.612244897959,1.9098938775510204,189943.6734693877,193824.4897959184,186347.6734693877,99158.49795918367,23868440658.4898,2217985662012.245,11686538.0,113.79755102040816
006340,1508.4751020408164,43.779591836734696,2.6624897959183675,1511.465306122449,1555.8816326530612,1472.7902040816327,2302169.837551021,4519100887.033469,102952949827.76,68320951.93061225,1237.740408163265
006345,3301.9142857142856,116.46122448979592,3.2500244897959187,3319.1795918367347,3458.2204081632653,3195.012244897959,180798.95918367343,812661281.4,8654977725.714285,2621200.0,2229.4832653061226
006360,33101.551020408166,661.3061224489796,1.992767346938776,33101.83673469388,33702.69387755102,32487.714285714286,634904.6644897959,21938485875.45061,2475370687608.0,74533897.77714285,104.89469387755102
006370,10593.424489795918,91.21632653061224,0.9382122448979592,10601.8693877551,10706.65306122449,10461.28163265306,11026.101224489796,105509622.8489796,114637918986.4449,10821611.0,1151.471836734694
006380,5714.84081632653,132.4326530612245,2.309991836734694,5721.122448979592,5850.465306122449,5593.073469387755,653247.7869387756,4323380863.791837,228593632653.0612,40000000.0,721.6228571428571
006390,32926.086956521736,1197.304347826087,3.162121739130435,33014.86956521739,34179.260869565216,31926.304347826088,160761.5504347826,8289699433.913043,524963419802.6957,15998479.632173913,385.8365217391304
006400,216510.612244898,4243.183673469388,1.9172244897959183,216489.8775510204,220167.02040816323,212669.4693877551,397288.387755102,94079218111.28165,14888250491032.652,68764530.0,25.4661224489796
006405,105928.44897959183,1830.938775510204,1.591208163265306,105930.08163265306,107725.26530612246,104138.9387755102,12261.055510204082,2141961225.2032647,171381213890.2857,1617896.0,920.370612244898
006490,4200.759183673469,153.31836734693877,3.1269469387755104,4199.657142857143,4377.6408163265305,4045.555102040816,2728044.04244898,17828817876.30612,372872319335.4449,88227850.20244898,602.2228571428572
006570,4987.265306122449,67.71020408163265,1.364334693877551,4989.661224489796,5063.322448979592,4900.595918367347,6438.642448979592,39835819.946938775,75931114285.71428,15225000.0,1456.738775510204
006580,6919.921292460646,111.58243579121788,1.840115990057995,6939.623032311516,7086.835128417564,6774.241922120961,171488.0530240265,556302704.842585,67691697390.223694,20343268.43413422,1548.6909693454847
006620,25967.381656804733,628.4763313609468,2.37396449704142,26040.384615384617,26734.31952662722,25395.340236686392,321435.25147929,10140021720.857988,249390733431.95267,9604000.0,650.1198224852071
006650,220424.0,4401.142857142857,2.0996408163265308,220788.7346938776,224899.9183673469,216500.89795918367,52371.91918367347,11109071520.148573,1432756000000.0,6500000.0,165.5191836734694
006660,10230.391836734694,99.20816326530613,0.9789142857142856,10220.497959183673,10327.297959183674,10085.942857142858,12674.162448979592,121383521.94693878,83135376408.34285,8126314.0,1392.8742857142856
006730,12701.551020408164,215.15918367346936,1.8355265306122448,12705.616326530611,12911.020408163266,12483.040816326533,178415.866122449,1927164474.6734693,533671768715.4286,45506326.97142857,337.1126530612245
006740,3259.1551020408165,68.4734693877551,2.0196,3256.922448979592,3337.987755102041,3185.5755102040816,217258.306122449,964099584.1632652,72353243265.30612,22200000.0,1489.4024489795918
006800,8466.151020408162,133.91020408163266,1.6274857142857144,8479.024489795918,8589.481632653062,8362.33469387755,2724381.343673469,23583226834.044083,5027897670987.861,589416788.0653061,59.37795918367347
006805,5263.591836734694,54.22857142857143,1.0758367346938775,5276.322448979592,5323.722448979592,5208.171428571429,33135.231020408166,171043327.12244898,74089002795.91837,14075750.0,1480.4563265306122
00680K,4104.1328125,41.28125,1.055875,4109.328125,4143.09375,4068.203125,427581.1828125,1799234253.828125,574578593750.0,140000000.0,320.0078125
006840,56729.26530612245,924.6122448979592,1.7546448979591838,56754.28571428572,57636.81632653061,55795.95918367347,41845.31591836735,2140494161.2653065,751524402628.0408,13247561.0,299.4277551020408
006880,5820.151020408163,75.48163265306123,1.3593061224489795,5817.310204081633,5918.326530612245,5724.804081632653,66549.48816326531,386609003.37142855,68845739958.96327,11828858.0,1554.8097959183674
006890,5636.0204081632655,83.56326530612245,1.2721061224489796,5635.669387755102,5742.330612244898,5541.220408163265,251932.15102040817,2710888757.1061225,65377836734.69388,11600000.0,1585.039183673469
006910,3651.755102040816,119.62857142857143,2.787289795918367,3665.0530612244897,3779.689795918368,3560.0938775510203,2817513.346122449,14710883291.363266,159801836646.2857,44844106.64081632,964.8767346938776
006920,5678.155102040816,144.70612244897958,2.5298204081632654,5689.065306122449,5854.065306122449,5551.138775510204,583274.8269387755,3874196316.134694,62005453714.28571,10920000.0,1622.8979591836735
006980,3214.938775510204,64.62857142857143,1.9516489795918368,3221.444897959184,3296.612244897959,3158.7795918367347,846737.2163265306,3241164461.6163263,99341608163.2653,30900000.0,1231.2604081632653
007070,41478.0,669.8775510204082,1.6437714285714284,41483.26530612245,42107.755102040814,40816.36734693877,266161.3526530612,10938706447.603266,3193806000000.0,77000000.0,85.39510204081633
007110,1719.9673469387756,50.36734693877551,2.7085795918367346,1722.942857142857,1772.0163265306123,1674.522448979592,2265135.1828571428,4558942938.555102,133222840004.57144,77456610.0,1017.6816326530612
007120,856.9983673469387,21.33551020408164,2.2177714285714285,860.9632653061225,883.3918367346939,835.4848979591836,1293241.827755102,1077685296.54449,66789479208.24898,93565117.25142856,1601.431836734694
007160,58170.16326530613,748.0,1.3608,58232.32653061225,58921.63265306123,57338.89795918368,20513.85632653061,1163324820.4081633,290850816326.53064,5000000.0,574.5787755102041
007190,2132.095588235294,53.106617647058826,2.42875,2139.7242647058824,2198.5845588235293,2077.261029411765,291602.58455882355,734518039.9632353,82038946743.86029,38478081.0,1306.033088235294
007197,7523.639705882353,230.8455882352941,2.934375,7550.294117647059,7861.323529411765,7303.639705882353,72166.79779411765,653302222.757353,3518919145.0367646,467715.0,2167.047794117647
007210,3798.817959183673,79.54122448979592,2.1881551020408163,3805.515102040816,3879.105306122449,3729.1404081632654,704425.3159183674,2476929084.3648977,260446959281.63263,68560000.0,671.9616326530612
007280,2340.137347130762,71.84571966133583,2.8995484477892752,2347.359360301035,2427.9962370649105,2264.2812793979306,537072.9219190968,1299708016.6425211,48807321125.68203,21976112.23142051,1806.277516462841
007310,739516.3265306122,9931.42857142857,1.3146204081632653,740285.306122449,749478.775510204,730441.224489796,5659.648163265306,4266574929.36,2573646364848.572,3490158.0555102043,100.80163265306122
007330,7361.991836734694,60.946938775510205,0.8639020408163265,7367.151020408163,7439.257142857143,7274.1061224489795,12468.286530612246,92476535.46938775,111039450475.10204,15082800.0,1134.7477551020409
007340,28806.40066500416,378.595178719867,1.2995677472984206,28803.117206982544,29211.01413133832,28334.039900249376,17366.38071487947,476429901.70407313,418015339486.0765,15085380.469659183,442.9534497090607
007370,5218.061224489796,136.9142857142857,2.4829632653061227,5226.889795918368,5381.265306122449,5092.25306122449,622740.0016326531,4175666663.714286,62616734693.87755,12000000.0,1609.7502040816323
007390,12652.909165302784,577.6350245499182,3.679288052373159,12635.96153846154,13233.428805237316,12131.207037643208,3181726.1276595746,51851194888.11375,679925281161.1334,53708519.65957447,368.0180032733225
007460,6272.240392477514,176.91741618969746,2.715756336876533,6289.6197874080135,6485.572363041701,6107.751430907604,2405756.6132461163,8836227098.920687,335853991531.2306,61067738.93295176,901.460343417825
007530,3120.2122448979594,81.2734693877551,2.5771183673469387,3123.530612244898,3218.730612244898,3033.7673469387755,250726.0057142857,890951754.7755102,25289105687.90204,9218616.979591835,2069.9020408163265
007540,39885.49331103679,864.38127090301,2.0625083612040136,39937.583612040136,40935.20066889632,39139.21404682274,80566.90384615384,4114565883.277592,118904672397.40802,2960598.1463210704,1126.6864548494984
007570,42586.81632653061,979.265306122449,2.1488244897959183,42650.44897959184,43737.38775510204,41778.93877551021,385385.1183673469,22416554741.510204,811545711410.9387,19054017.175510205,250.7934693877551
007575,32441.27764127764,1057.985257985258,2.233767403767404,32454.340704340702,33418.796068796066,31556.019656019656,9146.322686322686,704464743.0794431,14438963852.579851,445080.0,2160.142506142506
007590,7007.555102040817,89.28979591836735,1.2340408163265306,7013.542857142857,7119.134693877551,6911.257142857143,40049.6693877551,332989028.78367347,95425921183.78368,13617577.0,1256.8816326530612
007610,3904.9755102040817,121.9469387755102,2.8030857142857144,3910.861224489796,4030.036734693877,3803.322448979592,780140.773877551,4032169448.440816,70289559183.67346,18000000.0,1539.684081632653
007630,9121.712962962964,370.843621399177,4.14701646090535,9134.963991769548,9534.300411522634,8761.301440329218,681853.8765432099,7666397229.228395,244087214232.0268,23144356.119341563,980.3786008230452
007660,4481.171428571429,85.54285714285714,1.903077551020408,4482.269387755102,4571.783673469387,4398.138775510204,588181.8310204082,2905602689.222857,184930766020.51428,41268398.0,779.7004081632653
007680,11354.860927152318,244.10596026490063,2.117655629139073,11344.437086092716,11622.490066225166,11106.317880794702,77872.87814569536,922418701.6556292,126973556152.06622,11211060.851655629,1069.9364238410596
007690,53950.4081632653,712.9387755102041,1.3169142857142857,53955.95918367347,54677.38775510204,53193.551020408166,14231.087346938775,768038202.8979592,313485104880.0,5810616.0,510.5355102040816
